HomeTeam,AwayTeam,FTR,HomeShoot,AwayShoot,HomeCorner,AwayCorner,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed,HomeWin,AwayWin,HomeDraw,AwayDraw,HomeLoss,AwayLoss,B365H,B365D,B365A
Bayern Munich,Leverkusen,H,82,54,30,18,36,73,4,9,0,0,3,0,1,1,0,3,1.25,6.0,12.0
Hamburg,Augsburg,H,43,46,17,17,60,54,9,8,0,0,1,1,1,2,2,1,2.1,3.4,3.6
Hertha,Stuttgart,H,35,44,15,9,65,56,5,4,1,0,2,0,2,0,1,4,2.0,3.4,3.9
Hoffenheim,Werder Bremen,H,62,40,19,22,68,72,10,8,0,0,3,0,2,3,0,1,1.75,4.0,4.33
Mainz,Hannover,A,70,42,27,12,79,66,12,11,0,0,3,1,0,2,2,1,2.0,3.4,4.0
Schalke 04,RB Leipzig,H,48,75,15,30,69,78,6,12,0,1,2,3,1,0,1,2,2.8,3.4,2.5
Wolfsburg,Dortmund,A,45,71,14,20,37,52,5,1,1,0,0,3,3,1,1,0,3.8,4.0,1.85
Freiburg,Ein Frankfurt,D,50,56,17,26,48,86,5,10,1,0,1,3,3,1,0,1,2.45,3.25,3.0
M'gladbach,FC Koln,H,69,55,30,28,50,66,7,10,0,0,3,0,0,1,1,4,1.91,3.5,4.1
FC Koln,Hamburg,A,53,45,19,19,38,60,4,5,0,1,0,1,0,0,3,3,1.95,3.4,4.0
Augsburg,M'gladbach,D,55,49,24,7,66,40,8,4,0,0,2,1,1,2,1,1,3.25,3.4,2.25
Dortmund,Hertha,H,73,20,22,7,41,51,3,6,1,1,3,0,0,1,1,2,1.36,5.0,7.5
Ein Frankfurt,Wolfsburg,A,45,34,14,10,41,62,6,8,1,0,1,1,0,2,2,1,2.3,3.25,3.3
Leverkusen,Hoffenheim,D,72,39,28,19,53,41,6,8,0,0,2,1,2,1,0,1,2.05,3.6,3.6
Stuttgart,Mainz,H,62,34,17,17,45,36,7,7,0,0,3,0,1,1,0,2,2.3,3.4,3.1
Werder Bremen,Bayern Munich,A,55,69,17,27,50,41,6,5,0,0,0,2,1,1,3,1,11.0,6.5,1.25
Hannover,Schalke 04,H,52,46,18,21,66,69,9,8,0,0,2,2,1,0,1,2,3.3,3.4,2.2
RB Leipzig,Freiburg,H,56,30,13,12,33,42,4,3,1,1,2,0,1,1,0,3,1.36,5.0,8.5
Hamburg,RB Leipzig,A,43,75,17,30,60,78,9,12,0,1,1,3,1,0,2,2,4.0,3.6,1.91
Augsburg,FC Koln,H,55,55,24,28,66,66,8,10,0,0,2,0,1,1,1,4,2.38,3.3,3.1
Freiburg,Dortmund,D,50,71,17,20,48,52,5,1,1,0,1,3,3,1,0,0,7.5,5.0,1.4
Hoffenheim,Bayern Munich,H,62,69,19,27,68,41,10,5,0,0,3,2,2,1,0,1,7.0,4.5,1.45
Mainz,Leverkusen,H,70,54,27,18,79,73,12,9,0,0,3,0,0,1,2,3,3.0,3.4,2.38
M'gladbach,Ein Frankfurt,A,69,56,30,26,50,86,7,10,0,0,3,3,0,1,1,1,1.83,3.6,4.5
Wolfsburg,Hannover,D,45,42,14,12,37,66,5,11,1,0,0,1,3,2,1,1,1.83,3.6,4.5
Hertha,Werder Bremen,D,35,40,15,22,65,72,5,8,1,0,2,0,2,3,1,1,1.91,3.6,4.0
Schalke 04,Stuttgart,H,48,44,15,9,69,56,6,4,0,0,2,0,1,0,1,4,1.7,3.75,5.0
Hannover,Hamburg,H,52,45,18,19,66,60,9,5,0,1,2,1,1,0,1,3,1.95,3.5,4.0
Bayern Munich,Mainz,H,82,34,30,17,36,36,4,7,0,0,3,0,1,1,0,2,1.13,10.0,19.0
Ein Frankfurt,Augsburg,A,45,46,14,17,41,54,6,8,1,0,1,1,0,2,2,1,1.85,3.5,4.5
RB Leipzig,M'gladbach,D,56,49,13,7,33,40,4,4,1,0,2,1,1,2,0,1,1.67,3.8,5.5
Stuttgart,Wolfsburg,H,62,34,17,10,45,62,7,8,0,0,3,1,1,2,0,1,2.3,3.5,3.0
Werder Bremen,Schalke 04,A,55,46,17,21,50,69,6,8,0,0,0,2,1,0,3,2,2.8,3.5,2.5
Dortmund,FC Koln,H,73,55,22,28,41,66,3,10,1,0,3,0,0,1,1,4,1.22,6.0,13.0
Hoffenheim,Hertha,D,62,20,19,7,68,51,10,6,0,1,3,0,2,1,0,2,1.67,3.8,5.5
Leverkusen,Freiburg,H,72,30,28,12,53,42,6,3,0,1,2,0,2,1,0,3,1.45,4.5,7.0
Augsburg,RB Leipzig,H,55,75,24,30,66,78,8,12,0,1,2,3,1,0,1,2,3.5,3.5,2.1
M'gladbach,Stuttgart,H,69,44,30,9,50,56,7,4,0,0,3,0,0,0,1,4,1.7,3.8,5.0
Schalke 04,Bayern Munich,A,48,69,15,27,69,41,6,5,0,0,2,2,1,1,1,1,7.0,4.75,1.44
Wolfsburg,Werder Bremen,D,45,40,14,22,37,72,5,8,1,0,0,0,3,3,1,1,2.05,3.5,3.6
FC Koln,Ein Frankfurt,A,53,56,19,26,38,86,4,10,0,0,0,3,0,1,3,1,2.88,3.1,2.63
Freiburg,Hannover,D,50,42,17,12,48,66,5,11,1,0,1,1,3,2,0,1,2.8,3.25,2.6
Hamburg,Dortmund,A,43,71,17,20,60,52,9,1,0,0,1,3,1,1,2,0,7.0,4.75,1.44
Hertha,Leverkusen,H,35,54,15,18,65,73,5,9,1,0,2,0,2,1,1,3,3.3,3.4,2.2
Mainz,Hoffenheim,A,70,39,27,19,79,41,12,8,0,0,3,1,0,1,2,1,2.7,3.4,2.6
